id,sol,min_temp,max_temp,pressure
1895,1977,-77,-10,727
1893,1976,-77,-10,728
1894,1975,-76,-16,729
1892,1974,-77,-13,729
1889,1973,-78,-18,730
1891,1972,-78,-14,730
1890,1971,-78,-13,731
1888,1970,-77,-16,731
1887,1969,-76,-16,732
1886,1968,-76,-19,732
1885,1967,-76,-15,734
1884,1966,-77,-18,735
1883,1965,-76,-12,735
1882,1964,-76,-16,736
1881,1963,-77,-14,737
1880,1962,-78,-14,738
1877,1961,-77,-21,740
1876,1960,-78,-14,740
1878,1959,-78,-15,740
1874,1958,-77,-14,741
1875,1957,-77,-21,742
1879,1956,-79,-14,744
1873,1955,-77,-21,745
1872,1954,-77,-17,745
1870,1953,-78,-22,747
1871,1952,-80,-25,748
1869,1951,-77,-23,749
1868,1950,-79,-15,750
1867,1949,-78,-20,751
1866,1948,-78,-18,752
1865,1947,-78,-19,751
1864,1946,-79,-20,753
1862,1945,-78,-22,754
1861,1944,-80,-21,755
1863,1943,-78,-28,756
1860,1942,-78,-27,757
1856,1941,-77,-20,758
1858,1940,-77,-19,759
1857,1939,-78,-20,760
1859,1938,-78,-24,762
1854,1937,-80,-22,763
1855,1936,-79,-20,764
1853,1935,-80,-21,765
1851,1934,-79,-21,766
1852,1933,-78,-23,767
1850,1932,-79,-24,768
1849,1931,-79,-22,770
1848,1930,-79,-24,770
1846,1929,-79,-26,771
1847,1928,-78,-24,773
1845,1927,-79,-24,774
1843,1926,-80,-24,775
1844,1925,-79,-19,777
1841,1924,-78,-21,777
1842,1923,-77,-23,778
1840,1922,-79,-24,780
1838,1921,-78,-19,781
1837,1920,-77,-25,782
1836,1919,-77,-26,783
1839,1918,-77,-18,784
1831,1917,-80,-19,786
1829,1916,-79,-22,787
1835,1915,-78,-23,788
1834,1914,-78,-21,790
1830,1913,-79,-27,791
1832,1912,-80,-25,791
1833,1911,-79,-22,792
1828,1910,-80,-23,794
1827,1909,-80,-27,795
1826,1908,-79,-28,796
1825,1907,-79,-29,798
1824,1906,-79,-23,799
1823,1905,-80,-22,800
1822,1904,-79,-27,801
1821,1903,-78,-25,803
1820,1902,-79,-27,804
1819,1901,-81,-28,806
1818,1900,-81,-25,807
1815,1899,-81,-23,808
1816,1898,-81,-27,810
1817,1897,-80,-27,811
1813,1896,-79,-23,812
1814,1895,-78,-29,814
1811,1894,-79,-28,815
1812,1893,-79,-25,816
1809,1892,-81,-29,817
1810,1891,-80,-25,819
1808,1890,-79,-28,821
1806,1889,-80,-28,822
1807,1888,-79,-25,823
1802,1887,-79,-26,824
1805,1886,-79,-27,826
1804,1885,-79,-30,827
1799,1884,-79,-29,829
1800,1883,-78,-28,830
1801,1882,-78,-31,831
1803,1881,-79,-28,832
1798,1880,-79,-30,833
1796,1879,-79,-31,834
1795,1878,-79,-29,835
1797,1877,-79,-30,837
1794,1876,-79,-29,838
1793,1875,-79,-23,839
1792,1874,-80,-29,840
1790,1873,-79,-25,842
1791,1872,-79,-29,843
1789,1871,-80,-30,844
1788,1870,-81,-29,845
1787,1869,-81,-24,846
1786,1868,-80,-24,848
1784,1867,-78,-24,848
1785,1866,-80,-28,850
1783,1865,-80,-31,852
1782,1864,-82,-22,852
1781,1863,-80,-30,853
1777,1862,-81,-30,854
1780,1861,-79,-29,855
1778,1860,-80,-31,857
1779,1859,-79,-30,857
1775,1858,-81,-28,857
1776,1857,-80,-30,858
1774,1856,-80,-28,859
1773,1855,-78,-32,861
1772,1854,-80,-26,861
1771,1853,-80,-32,862
1769,1852,-80,-31,863
1767,1851,-87,-30,864
1768,1850,-80,-30,864
1770,1849,-80,-24,864
1766,1848,-80,-28,865
1764,1847,-80,-30,866
1765,1846,-80,-30,868
1763,1845,-80,-29,868
1762,1844,-81,-28,869
1760,1843,-80,-29,869
1761,1842,-79,-27,869
1759,1841,-77,-32,870
1758,1840,-77,-29,871
1757,1839,-80,-30,872
1754,1838,-79,-27,872
1756,1837,-81,-28,872
1755,1836,-81,-29,873
1753,1835,-80,-31,873
1752,1834,-80,-25,875
1751,1833,-81,-30,875
1750,1832,-84,-30,875
1747,1831,-80,-26,876
1748,1830,-80,-23,877
1749,1829,-78,-29,877
1746,1828,-80,-27,878
1745,1827,-80,-28,879
1744,1826,-80,-26,878
1741,1825,-80,-27,878
1742,1824,-80,-28,879
1743,1823,-80,-28,879
1739,1822,-78,-27,881
1740,1821,-81,-29,882
1738,1820,-79,-29,881
1737,1819,-82,-28,880
1736,1818,-81,-25,881
1735,1817,-80,-29,882
1734,1816,-82,-30,882
1733,1815,-81,-29,881
1732,1814,-80,-26,881
1731,1813,-80,-27,881
1730,1812,-79,-23,882
1727,1811,-79,-25,882
1729,1810,-78,-25,883
1728,1809,-80,-25,884
1726,1808,-79,-26,884
1725,1807,-78,-23,884
1724,1806,-80,-25,884
